ID,Inches,Price,ram_gb,weight_kg,touchscreen,ips_panel,cpu_ghz,cpu_gen,ssd_gb,hdd_gb,flash_gb,gpu_tier,ppi,total_storage_gb,has_ssd,has_hdd,has_dedicated_gpu,cpu_tier_score,ram_log2,log_price,Company_Acer,Company_Apple,Company_Asus,Company_Chuwi,Company_Dell,Company_Fujitsu,Company_Google,Company_HP,Company_Huawei,Company_LG,Company_Lenovo,Company_MSI,Company_Mediacom,Company_Microsoft,Company_Razer,Company_Samsung,Company_Toshiba,Company_Vero,Company_Xiaomi,TypeName_2 in 1 Convertible,TypeName_Gaming,TypeName_Netbook,TypeName_Notebook,TypeName_Ultrabook,TypeName_Workstation,cpu_brand_AMD,cpu_brand_Intel,cpu_brand_Other,cpu_tier_Atom,cpu_tier_Celeron,cpu_tier_Other,cpu_tier_Pentium,cpu_tier_Ryzen,cpu_tier_Xeon,cpu_tier_i3,cpu_tier_i5,cpu_tier_i7,gpu_brand_AMD,gpu_brand_Intel,gpu_brand_Nvidia,os_Linux,os_NoOS,os_Win10,os_WinOther,os_macOS
1032,17.3,63499.10399999999,8,2.7,0,0,2.8,7,128,1024,0,2,127.33567457123111,1152,1,1,1,6,3.0,11.058796822674717,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
1033,14.0,63669.6,8,1.95,0,0,2.3,6,256,0,0,0,157.3505121487356,256,1,0,0,5,3.0,11.061478196557058,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
1034,15.6,65480.5872,8,1.84,0,0,2.5,6,256,0,0,0,141.21199808219862,256,1,0,0,6,3.0,11.089524270653731,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
1035,12.5,71874.72,8,1.26,0,0,2.5,6,256,0,0,0,176.23257360658386,256,1,0,0,6,3.0,11.182693795440782,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
1036,15.6,39533.76,4,2.04,0,0,2.5,7,0,500,0,0,100.45466986113651,500,0,1,0,5,2.0,10.58493556391622,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
1037,14.0,91908.0,8,1.47,0,1,2.6,6,256,0,0,0,157.3505121487356,256,1,0,0,6,3.0,11.428554236084064,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
1038,15.6,56633.976,8,2.09,0,0,2.4,6,256,0,0,0,141.21199808219862,256,1,0,0,5,3.0,10.944382023868503,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
1039,14.0,53839.9728,8,1.64,0,0,2.5,7,256,0,0,0,157.3505121487356,256,1,0,0,5,3.0,10.893790032506047,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
1040,15.6,45128.16,4,1.8,1,1,2.5,6,256,0,0,0,141.21199808219862,256,1,0,0,6,2.0,10.717283879751747,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
1041,14.0,11231.424,2,1.45,0,0,1.44,0,0,0,32,0,111.93520355955211,32,0,0,0,0,1.0,9.326559874840855,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
